Feature,Importance
NOx_NO2_ratio,0.01727554504798876
NO,0.015212074856471245
CO,0.0068470917094026786
NO2,0.0058279584210855166
NH3,0.00565265697550249
PM_ratio,0.005494640019069082
NOx,0.0054610010660087575
IsWeekend,0.004818168203603876
PM2.5,0.004490396983462662
PM2.5_lag1,0.003830235019418359
PM10,0.0035947096347614432
City_Encoded,0.0023625921169160777
Season,0.002248951619717916
Month,0.002169216100037105
AQI_rolling_std_7,0.001933274809689501
O3,0.0017675883820846613
Quarter,0.00165327122649055
DayOfWeek,0.0014212625835574994
DayOfYear,0.0012752586925054911
SO2,0.00121238400086359
AQI_lag7,0.0010517407911863933
AQI_lag1,0.0007291027790339794
AQI_rolling_mean_7,0.0006158738313063432
Xylene,0.0
Toluene,0.0
Benzene,0.0
